nim,kode_mk,nilai_angka,nilai_huruf,semester
2210171,SD1202,94,C,1
2210171,SI1101,61,D,5
2210171,SD1101,62,E,4
2210172,SD2301,92,C,2
2210172,IF1101,73,E,2
2210172,SD1102,77,B,4
2210173,SD2201,76,B,3
2210173,IF1101,79,A,6
2210173,SI1201,67,E,6
2210174,SD1102,80,B,4
2210174,IF1101,75,A,5
2210174,SD1101,70,C,5
2210175,SD2101,65,E,5
2210175,SD1101,84,D,1
2210175,SD1202,87,C,2
2210176,SD2101,,C,1
2210176,SI1201,74,E,3
2210176,IF1101,100,C,2
2210177,SD2401,71,E,5
2210177,SD2301,,B,2
2210177,SD1202,72,B,6
2210178,SD2101,66,B,3
2210178,IF1201,61,C,6
2210178,IF1101,62,A,4
2210179,SD1202,63,B,5
2210179,SD1102,62,B,5
2210179,IF1101,74,E,5
2210180,SD2201,92,C,2
2210180,SD2101,66,A,3
2210180,SD1101,71,B,2
2210181,SD1101,68,E,5
2210181,SD1201,82,C,6
2210181,SI1201,70,E,1
2210182,SD1202,48,E,1
2210182,SI1201,78,D,6
2210182,IF1201,74,B,1
2210183,SI1201,69,B,2
2210183,IF1201,85,C,1
2210183,SI1101,77,C,3
2210184,SD2301,72,D,4
2210184,SI1101,76,E,6
2210184,SD1201,100,C,3
2210185,SD2301,,E,1
2210185,SD2401,49,B,5
2210185,SD2101,80,A,5
2210186,SD2301,91,C,4
2210186,SD1101,59,B,2
2210186,SD1201,71,D,4
2210187,SD1102,72,B,4
2210187,IF1201,71,C,5
2210187,SI1201,70,D,6
2210188,SD1101,98,C,1
2210188,SD2301,57,B,2
2210188,SD2201,81,E,3
2210189,SD2401,57,D,4
2210189,SD2101,100,C,4
2210189,SD1201,67,B,1
2210190,SD1102,70,A,1
2210190,IF1101,80,A,3
2210190,SD2301,,E,3
2210191,SI1101,60,A,6
2210191,SD1102,78,E,6
2210191,SD2301,83,D,1
2210192,SD1202,68,C,1
2210192,SI1201,79,E,4
2210192,SD2201,52,B,3
2210193,SD1101,62,C,1
2210193,SD2201,71,D,5
2210193,SD1102,65,B,4
2210194,SD2201,67,C,1
2210194,SD2101,65,A,1
2210194,SI1101,81,A,3
2210195,SD2401,81,B,2
2210195,IF1201,69,D,1
2210195,SD1102,73,B,5
2210196,SI1101,66,A,1
2210196,SD1202,64,E,4
2210196,SD1201,87,C,3
2210197,SI1201,64,A,2
2210197,SD1101,61,C,5
2210197,IF1101,80,B,4
2210198,SI1101,78,A,5
2210198,IF1101,79,A,6
2210198,SD1202,64,A,3
2210199,IF1101,62,E,1
2210199,SD1102,73,D,1
2210199,SD1202,58,B,3
2210200,SI1101,59,C,5
2210200,SD1201,53,C,1
2210200,SI1201,57,C,1
2210201,SD2301,94,C,1
2210201,SD2201,91,C,6
2210201,SI1101,66,C,6
2210202,SI1101,64,D,1
2210202,IF1201,58,D,5
2210202,SD2401,74,A,3
2210203,SD2101,78,B,3
2210203,SI1201,62,C,4
2210203,SD1202,55,B,5
2210204,SD2301,73,E,2
2210204,SD1201,55,A,3
2210204,SD1101,61,D,5
2210205,IF1101,70,B,3
2210205,SI1101,54,C,3
2210205,SD1201,84,E,5
2210206,IF1201,92,C,5
2210206,IF1101,71,D,1
2210206,SD1202,81,A,6
2210207,SD1102,66,A,3
2210207,SD2301,75,C,5
2210207,SD2101,77,A,2
2210208,SD2101,96,C,5
2210208,SD1202,66,B,5
2210208,SD1101,61,A,1
2210209,SD2201,81,E,3
2210209,SD2301,65,B,2
2210209,IF1101,51,D,6
2210210,IF1101,60,A,5
2210210,SI1201,62,B,5
2210210,SD1101,76,E,6
2210211,SD1101,86,C,1
2210211,SD1202,71,E,6
2210211,SI1201,96,C,2
2210212,SD1102,69,C,1
2210212,SD2101,62,E,2
2210212,IF1201,69,B,4
2210213,SI1201,65,B,1
2210213,IF1201,49,B,5
2210213,SD1202,70,C,4
2210214,IF1101,99,C,3
2210214,SD2201,79,A,5
2210214,SD1101,67,C,6
2210215,SD2401,63,A,4
2210215,SI1201,78,C,5
2210215,SD2201,83,E,6
2210216,SD2401,76,D,2
2210216,SD1101,60,C,1
2210216,IF1201,75,B,5
2210217,SD2301,81,D,4
2210217,SD1102,81,D,2
2210217,IF1101,60,B,4
2210218,SD1201,89,C,3
2210218,SD2101,81,E,3
2210218,IF1101,72,E,3
2210219,IF1201,61,A,3
2210219,SI1201,82,A,2
2210219,SI1101,67,D,5
2210220,SI1101,59,D,5
2210220,IF1201,82,D,4
2210220,SD1202,85,C,4
2210221,SI1201,62,D,2
2210221,IF1201,84,B,5
2210221,SD1202,83,C,6
2210222,SD2201,78,B,6
2210222,SI1201,71,C,6
2210222,SD2101,65,B,2
2210223,SI1201,85,C,6
2210223,IF1101,78,D,4
2210223,SD1101,79,E,5
2210224,SD2301,83,A,4
2210224,SD2201,73,E,2
2210224,SD2101,91,C,1
2210225,SI1101,78,D,5
2210225,SD1202,77,D,5
2210225,SD1102,78,B,3
2210226,SD1102,65,D,1
2210226,SI1201,81,A,1
2210226,SD1101,66,D,5
2210227,SD1201,63,E,3
2210227,SI1201,74,D,6
2210227,IF1101,54,E,6
2210228,SD1101,89,C,5
2210228,SD2101,62,A,6
2210228,IF1101,68,C,6
2210229,SI1101,,C,6
2210229,SD2101,74,C,3
2210229,SD1201,64,A,5
2210230,SD1102,75,B,3
2210230,SD2101,81,E,6
2210230,IF1201,70,A,5
2210231,SD1102,59,B,6
2210231,IF1101,84,C,4
2210231,IF1201,72,C,6
2210232,SI1101,52,D,3
2210232,IF1201,64,B,4
2210232,SD2201,78,A,3
2210233,SD2101,63,C,6
2210233,IF1101,56,E,6
2210233,IF1201,67,A,4
2210234,SI1201,67,B,4
2210234,SD2101,95,C,2
2210234,SD1202,73,B,6
2210235,SD2401,72,B,5
2210235,SD1102,54,C,1
2210235,SD1202,64,D,4
2210236,SI1101,78,A,4
2210236,SD2401,70,E,2
2210236,SD1201,87,C,1
2210237,SD2101,86,C,5
2210237,SD2301,100,C,3
2210237,SI1101,76,C,1
2210238,IF1101,59,C,5
2210238,SD1202,77,E,4
2210238,SD2201,85,C,4
2210239,SD1202,86,C,6
2210239,SI1101,71,E,3
2210239,SD2401,94,C,2
2210240,IF1201,93,C,1
2210240,SD1201,68,D,3
2210240,SD2201,89,C,1
2210241,SI1101,76,C,4
2210241,SD1102,64,D,5
2210241,SD1101,72,B,4
2210242,SD2301,71,C,1
2210242,SI1201,73,D,6
2210242,SD2101,73,A,2
2210243,SI1201,87,C,3
2210243,IF1101,64,B,6
2210243,IF1201,52,A,4
2210244,SD1101,66,A,1
2210244,IF1101,77,E,3
2210244,SD2101,58,C,1
2210245,SD2301,72,C,1
2210245,SD1201,71,E,3
2210245,SD1202,69,C,5
2210246,SD1201,90,C,1
2210246,IF1101,69,A,1
2210246,SD1102,65,A,5
2210247,SD2101,70,D,6
2210247,SD2301,54,E,6
2210247,SD1201,56,D,6
2210248,SI1201,65,C,4
2210248,SD2301,71,A,2
2210248,SD1101,77,E,1
2210249,SD2201,60,D,5
2210249,SD1102,81,A,2
2210249,SD1201,72,E,5
2210250,SD1202,68,E,5
2210250,SD1101,64,B,5
2210250,SD2201,90,C,3
2210251,IF1201,65,E,5
2210251,SD2201,78,C,5
2210251,SD1202,84,A,1
2210252,SD2401,78,D,1
2210252,IF1101,,E,3
2210252,SD1201,52,C,6
2210253,SD2301,96,C,4
2210253,SD1102,80,D,4
2210253,SD1202,55,A,6
2210254,SD1202,64,A,4
2210254,IF1101,70,A,5
2210254,SD2101,72,C,5
2210255,SD2401,67,D,1
2210255,SD1101,81,A,4
2210255,SD1201,72,B,2
2210256,SD2401,77,C,4
2210256,SD1201,70,B,1
2210256,IF1201,82,E,4
2210257,SD2301,,E,1
2210257,SD2101,69,B,2
2210257,SD1202,71,E,2
2210258,SI1101,62,B,2
2210258,IF1201,64,A,2
2210258,SD1201,51,D,6
2210259,SD1201,58,D,6
2210259,SI1101,70,A,4
2210259,SI1201,57,A,4
2210260,SD2101,55,C,3
2210260,SI1201,89,C,2
2210260,SD1101,55,C,4
2210261,SD1202,48,C,2
2210261,SD2301,72,B,3
2210261,SI1101,82,D,5
2210262,SD2101,64,B,4
2210262,SD2301,79,D,2
2210262,SD2401,72,A,2
2210263,SD1202,57,A,6
2210263,SD2401,69,D,1
2210263,SD1201,66,B,3
2210264,IF1201,73,B,2
2210264,SD2101,64,C,1
2210264,SD1101,88,C,3
2210265,SD1101,56,D,5
2210265,IF1101,63,A,5
2210265,SD2101,72,E,3
2210266,SD2101,77,D,6
2210266,IF1101,70,A,1
2210266,SD2301,96,C,4
2210267,SD2401,83,C,6
2210267,SD2201,74,E,4
2210267,SI1101,81,B,1
2210268,IF1201,78,A,2
2210268,SD1101,71,E,2
2210268,SD2301,83,D,5
2210269,SD2401,59,C,3
2210269,SI1101,66,E,5
2210269,SD2201,68,E,3
2210270,SD1101,64,C,4
2210270,IF1101,73,E,2
2210270,SI1201,44,E,6
2210271,SD2101,77,C,6
2210271,IF1201,39,B,1
2210271,SD2301,65,C,3
2210272,SI1201,86,C,6
2210272,SD2201,67,D,5
2210272,SD1202,58,C,4
2210273,SD2201,76,D,1
2210273,SD2301,72,C,2
2210273,SD1201,68,A,2
2210274,SI1101,,C,4
2210274,SD2401,49,A,3
2210274,SD1102,67,A,3
2210275,SD1102,98,C,4
2210275,SD1202,71,C,2
2210275,SD2301,81,E,5
2210276,SD1201,82,A,3
2210276,SD2201,74,A,5
2210276,SD2101,88,C,1
2210277,SD1102,66,B,1
2210277,SI1201,73,C,3
2210277,SD1202,56,D,5
2210278,IF1201,65,E,6
2210278,SD1202,69,C,4
2210278,SD2301,78,D,4
2210279,SI1101,70,E,4
2210279,IF1101,86,C,5
2210279,SD1102,78,E,3
2210280,SD2101,61,B,3
2210280,SD1201,77,C,4
2210280,IF1201,67,A,6
2210281,IF1101,83,A,4
2210281,SD1201,76,C,2
2210281,SD1202,81,B,4
2210282,SD1102,58,B,1
2210282,SD1202,,D,5
2210282,SD1201,79,D,2
2210283,SD1102,59,A,6
2210283,SD1202,65,A,6
2210283,SD1201,60,C,4
2210284,SI1201,85,C,5
2210284,SD1102,79,D,1
2210284,SD1202,72,D,2
2210285,SD1102,84,B,5
2210285,SD2401,73,B,3
2210285,SI1201,40,B,2
2210286,SD1201,78,B,3
2210286,SD1101,80,C,1
2210286,SI1201,72,E,6
2210287,SD1201,65,C,1
2210287,SI1101,51,E,1
2210287,SD1101,70,D,4
2210288,SD1101,65,E,3
2210288,SI1201,91,C,5
2210288,IF1101,69,E,3
2210289,SD1201,72,D,6
2210289,IF1101,71,C,2
2210289,SD2101,73,A,1
2210290,SI1201,70,C,5
2210290,SD2201,84,E,1
2210290,SD2101,61,D,4
2210291,SD1101,73,D,6
2210291,SD1202,69,C,1
2210291,SD1201,76,E,2
2210292,SD1102,51,C,6
2210292,SI1201,87,C,5
2210292,SD2201,56,D,2
2210293,SD2401,94,C,6
2210293,SD2201,60,B,2
2210293,SD2101,89,C,6
2210294,SD1202,73,C,3
2210294,SD1201,73,B,3
2210294,IF1201,74,E,1
2210295,SD1202,54,E,2
2210295,SD2201,76,B,5
2210295,SD2101,80,D,6
2210296,SD1101,78,A,5
2210296,IF1101,70,E,4
2210296,SI1101,74,E,5
2210297,SD2101,100,C,1
2210297,SD1102,54,A,3
2210297,IF1101,56,B,6
2210298,SI1101,82,C,6
2210298,SD1202,63,B,3
2210298,SD1102,79,D,4
2210299,IF1101,73,C,2
2210299,SI1101,56,C,4
2210299,SD1101,65,D,1
2210300,SD2301,68,D,5
2210300,SD2401,78,C,5
2210300,SD2201,75,C,2
2310001,SD2101,56,B,4
2310001,SD1202,100,C,4
2310001,SI1101,69,D,2
2310002,SD2101,80,C,4
2310002,SD1102,63,A,2
2310002,SD2401,76,D,3
2310003,SD2201,65,B,4
2310003,IF1201,75,D,1
2310003,IF1101,64,B,1
2310004,IF1101,73,C,3
2310004,SD1102,59,E,5
2310004,SD2301,75,D,1
2310005,SD1202,39,C,5
2310005,SD2301,62,C,1
2310005,SI1201,70,A,3
2310006,SI1201,75,D,6
2310006,SD1102,82,B,2
2310006,SD2101,63,B,3
2310007,SD1102,67,B,4
2310007,IF1201,75,A,1
2310007,SD1202,81,B,4
2310008,SI1101,53,D,2
2310008,SD1202,62,E,3
2310008,SD1201,48,C,1
2310009,SD2201,61,A,3
2310009,SD1102,64,A,1
2310009,SD2301,70,D,2
2310010,SD1102,80,A,5
2310010,SI1201,68,D,2
2310010,SD1201,77,E,1
2310011,SD1101,83,B,5
