nim,kode_mk,tanggal,pertemuan_ke,status,jam_masuk
2210007,IF1101,2022-12-01,14,HADIR,9:30
2210007,SI1101,2022-09-01,1,izin,8:00
2210007,SI1101,2022-09-08,2,HADIR,7:15
2210007,SI1101,2022-09-15,3,hadir,7:45
2210007,SI1101,2022-09-22,,alpa,
2210007,SI1101,2022-09-29,5,ALPA,
2210007,SI1101,2022-10-06,6,alpa,
2210007,SI1101,2022-10-13,7,-,
2210007,SI1101,2022-10-20,8,hadir,7:00
2210007,SI1101,2022-10-27,9,ALPA,
2210007,SI1101,2022-11-03,10,SAKIT,9:00
2210007,SI1101,2022-11-10,11,-,
2210007,SI1101,2022-11-17,12,IZIN,7:45
2210007,SI1101,2022-11-24,13,izin,7:45
2210007,SI1101,2022-12-01,14,sakit,9:15
2210008,SD2401,2022-09-01,1,hadir,8:15
2210008,SD2401,2022-09-08,2,sakit,8:15
2210008,SD2401,2022-09-15,3,sakit,8:30
2210008,SD2401,2022-09-22,4,HADIR,8:45
2210008,SD2401,2022-09-29,5,-,
2210008,SD2401,06/10/2022,6,IZIN,7:00
2210008,SD2401,2022-10-13,7,H,9:30
2210008,SD2401,2022-10-20,8,-,
2210008,SD2401,2022-10-27,9,hadir,7:15
2210008,SD2401,2022-11-03,10,sakit,8:30
2210008,SD2401,2022-11-10,11,alpa,
2210008,SD2401,2022-11-17,12,HADIR,9:30
2210008,SD2401,2022-11-24,13,hadir,9:00
2210008,SD2401,2022-12-01,14,hadir,7:45
2210008,SI1101,2022-09-01,1,IZIN,7:00
2210008,SI1101,2022-09-08,2,izin,8:15
2210008,SI1101,15/09/2022,3,hadir,9:30
2210008,SI1101,2022-09-22,4,H,9:30
2210008,SI1101,2022-09-29,5,SAKIT,8:30
2210008,SI1101,2022-10-06,6,ALPA,
2210008,SI1101,2022-10-13,7,izin,7:45
2210008,SI1101,2022-10-20,8,IZIN,7:30
2210008,SI1101,2022-10-27,9,alpa,
2210008,SI1101,2022-11-03,10,ALPA,
2210008,SI1101,2022-11-10,11,izin,7:30
2210008,SI1101,2022-11-17,12,IZIN,8:30
2210008,SI1101,2022-11-24,13,sakit,7:45
2210008,SI1101,2022-12-01,14,ALPA,
2210008,SI1201,2022-09-01,1,hadir,8:00
2210008,SI1201,2022-09-08,2,alpa,
2210008,SI1201,2022-09-15,3,alpa,
2210008,SI1201,2022-09-22,4,SAKIT,7:45
2210008,SI1201,2022-09-29,5,ALPA,
2210008,SI1201,2022-10-06,6,IZIN,8:15
2210008,SI1201,2022-10-13,7,izin,8:00
2210008,SI1201,2022-10-20,8,hadir,8:45
2210008,SI1201,27/10/2022,9,alpa,
2210008,SI1201,2022-11-03,10,HADIR,7:15
2210008,SI1201,2022-11-10,11,sakit,9:45
2210008,SI1201,2022-11-17,12,-,
2210008,SI1201,2022-11-24,13,hadir,9:15
2210008,SI1201,2022-12-01,14,sakit,7:15
2210009,IF1101,2022-09-01,1,IZIN,8:30
2210009,IF1101,2022-09-08,2,alpa,
2210009,IF1101,2022-09-15,3,ALPA,
2210009,IF1101,2022-09-22,4,IZIN,8:45
2210009,IF1101,2022-09-29,5,-,
2210009,IF1101,2022-10-06,6,-,
2210009,IF1101,2022-10-13,7,hadir,7:45
2210009,IF1101,2022-10-20,8,izin,9:45
2210009,IF1101,2022-10-27,9,ALPA,
2210009,IF1101,2022-11-03,10,ALPA,
2210009,IF1101,2022-11-10,11,hadir,8:45
2210009,IF1101,2022-11-17,12,HADIR,7:45
2210009,IF1101,24/11/2022,13,izin,9:00
2210009,IF1101,2022-12-01,14,ALPA,
2210009,SD1201,2022-09-01,1,ALPA,
2210009,SD1201,2022-09-08,2,H,7:30
2210009,SD1201,2022-09-15,3,-,
2210009,SD1201,2022-09-22,4,hadir,8:45
2210009,SD1201,2022-09-29,5,IZIN,8:00
2210009,SD1201,2022-10-06,6,-,
2210009,SD1201,2022-10-13,7,ALPA,
2210009,SD1201,2022-10-20,8,sakit,7:45
2210009,SD1201,2022-10-27,9,-,
2210009,SD1201,2022-11-03,10,hadir,7:15
2210009,SD1201,2022-11-10,11,SAKIT,7:15
2210009,SD1201,17/11/2022,,hadir,7:30
2210009,SD1201,2022-11-24,13,alpa,
2210009,SD1201,2022-12-01,14,HADIR,9:30
2210009,SD2401,2022-09-01,1,-,
2210009,SD2401,2022-09-08,2,HADIR,8:15
2210009,SD2401,2022-09-15,,-,
2210009,SD2401,2022-09-22,4,HADIR,7:45
2210009,SD2401,2022-09-29,5,HADIR,8:45
2210009,SD2401,2022-10-06,6,-,
2210009,SD2401,2022-10-13,7,HADIR,8:15
2210009,SD2401,2022-10-20,8,izin,8:15
2210009,SD2401,2022-10-27,9,ALPA,
2210009,SD2401,2022-11-03,10,izin,9:15
2210009,SD2401,2022-11-10,11,IZIN,7:45
2210009,SD2401,2022-11-17,12,H,8:00
2210009,SD2401,2022-11-24,13,-,
2210009,SD2401,2022-12-01,14,alpa,
2210010,SD2201,2022-09-01,1,HADIR,9:00
2210010,SD2201,2022-09-08,2,sakit,9:00
2210010,SD2201,2022-09-15,3,SAKIT,7:15
2210010,SD2201,2022-09-22,4,izin,8:30
2210010,SD2201,2022-09-29,5,SAKIT,9:45
2210010,SD2201,2022-10-06,6,sakit,8:15
2210010,SD2201,2022-10-13,7,-,
2210010,SD2201,2022-10-20,8,H,8:15
2210010,SD2201,2022-10-27,9,IZIN,8:30
2210010,SD2201,2022-11-03,10,HADIR,9:15
2210010,SD2201,2022-11-10,11,SAKIT,7:15
2210010,SD2201,2022-11-17,12,-,
2210010,SD2201,2022-11-24,13,-,
2210010,SD2201,01/12/2022,14,ALPA,
2210010,SD1202,2022-09-01,1,-,
2210010,SD1202,2022-09-08,2,izin,8:00
2210010,SD1202,2022-09-15,3,IZIN,7:00
2210010,SD1202,2022-09-22,4,H,9:15
2210010,SD1202,2022-09-29,5,HADIR,7:00
2210010,SD1202,2022-10-06,6,-,
2210010,SD1202,2022-10-13,7,HADIR,7:30
2210010,SD1202,2022-10-20,8,H,8:30
2210010,SD1202,2022-10-27,9,ALPA,
2210010,SD1202,2022-11-03,10,izin,9:45
2210010,SD1202,2022-11-10,11,hadir,9:00
2210010,SD1202,2022-11-17,12,alpa,
2210010,SD1202,2022-11-24,13,alpa,
2210010,SD1202,2022-12-01,14,hadir,7:15
2210010,IF1201,2022-09-01,1,alpa,
2210010,IF1201,2022-09-08,2,alpa,
2210010,IF1201,2022-09-15,3,izin,8:30
2210010,IF1201,2022-09-22,4,alpa,
2210010,IF1201,2022-09-29,5,izin,8:00
2210010,IF1201,2022-10-06,6,hadir,9:45
2210010,IF1201,13/10/2022,7,izin,7:15
2210010,IF1201,20/10/2022,8,-,
2210010,IF1201,27/10/2022,9,SAKIT,8:00
2210010,IF1201,2022-11-03,10,alpa,
2210010,IF1201,2022-11-10,11,alpa,
2210010,IF1201,2022-11-17,,HADIR,7:30
2210010,IF1201,24/11/2022,13,izin,7:30
2210010,IF1201,2022-12-01,14,hadir,7:30
2210011,IF1201,01/09/2022,1,alpa,
2210011,IF1201,2022-09-08,2,hadir,8:45
2210011,IF1201,2022-09-15,3,sakit,7:15
2210011,IF1201,2022-09-22,4,-,
2210011,IF1201,2022-09-29,5,sakit,9:45
2210011,IF1201,2022-10-06,6,SAKIT,7:30
2210011,IF1201,2022-10-13,7,SAKIT,8:45
2210011,IF1201,2022-10-20,8,H,7:45
2210011,IF1201,2022-10-27,9,izin,9:00
2210011,IF1201,2022-11-03,10,sakit,8:15
2210011,IF1201,2022-11-10,11,IZIN,9:45
2210011,IF1201,2022-11-17,12,alpa,
2210011,IF1201,2022-11-24,13,ALPA,
2210011,IF1201,2022-12-01,14,-,
2210011,SI1201,2022-09-01,1,-,
2210011,SI1201,2022-09-08,2,sakit,8:45
2210011,SI1201,2022-09-15,3,izin,8:45
2210011,SI1201,2022-09-22,4,H,8:45
2210011,SI1201,2022-09-29,5,HADIR,8:45
2210011,SI1201,2022-10-06,6,IZIN,7:15
2210011,SI1201,2022-10-13,7,alpa,
2210011,SI1201,2022-10-20,8,-,
2210011,SI1201,2022-10-27,9,-,
2210011,SI1201,2022-11-03,10,-,
2210011,SI1201,2022-11-10,11,HADIR,7:45
2210011,SI1201,2022-11-17,12,SAKIT,7:45
2210011,SI1201,2022-11-24,13,hadir,8:15
2210011,SI1201,2022-12-01,14,IZIN,8:30
2210011,SD1101,2022-09-01,1,izin,9:45
2210011,SD1101,2022-09-08,2,SAKIT,9:15
2210011,SD1101,2022-09-15,3,SAKIT,7:00
2210011,SD1101,2022-09-22,4,H,7:45
2210011,SD1101,2022-09-29,5,hadir,9:00
2210011,SD1101,2022-10-06,6,hadir,9:30
2210011,SD1101,2022-10-13,7,IZIN,9:30
2210011,SD1101,2022-10-20,8,-,
2210011,SD1101,27/10/2022,9,ALPA,
2210011,SD1101,2022-11-03,10,-,
2210011,SD1101,2022-11-10,11,hadir,7:30
2210011,SD1101,2022-11-17,12,ALPA,
2210011,SD1101,2022-11-24,13,IZIN,7:30
2210011,SD1101,2022-12-01,14,HADIR,8:30
2210012,IF1101,2022-09-01,1,SAKIT,9:45
2210012,IF1101,2022-09-08,2,-,
2210012,IF1101,15/09/2022,3,-,
2210012,IF1101,2022-09-22,4,IZIN,8:30
2210012,IF1101,2022-09-29,5,alpa,
2210012,IF1101,2022-10-06,6,sakit,9:45
2210012,IF1101,2022-10-13,7,IZIN,7:00
2210012,IF1101,2022-10-20,8,sakit,9:15
2210012,IF1101,2022-10-27,9,ALPA,
2210012,IF1101,2022-11-03,10,-,
2210012,IF1101,2022-11-10,11,izin,8:45
2210012,IF1101,2022-11-17,12,sakit,8:45
2210012,IF1101,2022-11-24,13,H,7:45
2210012,IF1101,2022-12-01,14,-,
2210012,SD2201,2022-09-01,1,-,
2210012,SD2201,2022-09-08,2,H,8:30
2210012,SD2201,2022-09-15,3,sakit,7:00
2210012,SD2201,2022-09-22,4,izin,9:00
2210012,SD2201,2022-09-29,5,SAKIT,9:45
2210012,SD2201,2022-10-06,6,-,
2210012,SD2201,2022-10-13,7,ALPA,
2210012,SD2201,2022-10-20,8,-,
2210012,SD2201,2022-10-27,9,hadir,9:00
2210012,SD2201,2022-11-03,10,H,9:00
2210012,SD2201,2022-11-10,11,SAKIT,8:15
2210012,SD2201,2022-11-17,12,hadir,9:15
2210012,SD2201,2022-11-24,13,alpa,
2210012,SD2201,2022-12-01,14,-,
2210012,SD1101,2022-09-01,1,-,
2210012,SD1101,2022-09-08,2,-,
2210012,SD1101,2022-09-15,3,ALPA,
2210012,SD1101,2022-09-22,4,hadir,8:30
2210012,SD1101,2022-09-29,5,ALPA,
2210012,SD1101,2022-10-06,6,HADIR,7:45
2210012,SD1101,2022-10-13,7,IZIN,9:30
2210012,SD1101,2022-10-20,8,ALPA,
2210012,SD1101,2022-10-27,9,HADIR,9:30
2210012,SD1101,2022-11-03,10,izin,9:45
2210012,SD1101,2022-11-10,11,HADIR,8:30
2210012,SD1101,2022-11-17,12,HADIR,9:15
2210012,SD1101,2022-11-24,13,SAKIT,8:45
2210012,SD1101,2022-12-01,14,alpa,
2210013,SI1201,2022-09-01,1,alpa,
2210013,SI1201,2022-09-08,2,H,9:45
2210013,SI1201,2022-09-15,3,izin,9:30
2210013,SI1201,2022-09-22,4,HADIR,9:45
2210013,SI1201,2022-09-29,5,HADIR,7:00
2210013,SI1201,2022-10-06,6,SAKIT,9:00
2210013,SI1201,2022-10-13,7,ALPA,
2210013,SI1201,2022-10-20,8,alpa,
2210013,SI1201,2022-10-27,9,ALPA,
2210013,SI1201,2022-11-03,10,hadir,9:30
2210013,SI1201,2022-11-10,11,SAKIT,8:15
2210013,SI1201,2022-11-17,12,ALPA,
2210013,SI1201,2022-11-24,13,sakit,8:30
2210013,SI1201,2022-12-01,14,ALPA,
2210013,IF1201,2022-09-01,1,sakit,9:00
2210013,IF1201,2022-09-08,2,H,8:30
2210013,IF1201,2022-09-15,3,alpa,
2210013,IF1201,2022-09-22,4,SAKIT,9:30
2210013,IF1201,2022-09-29,5,HADIR,7:45
2210013,IF1201,2022-10-06,6,alpa,
2210013,IF1201,2022-10-13,7,IZIN,7:30
2210013,IF1201,2022-10-20,8,SAKIT,7:00
2210013,IF1201,2022-10-27,9,HADIR,7:45
2210013,IF1201,2022-11-03,10,IZIN,9:00
2210013,IF1201,2022-11-10,11,SAKIT,7:45
2210013,IF1201,2022-11-17,12,HADIR,9:15
2210013,IF1201,2022-11-24,13,SAKIT,8:00
2210013,IF1201,2022-12-01,14,IZIN,9:15
2210013,SD1202,2022-09-01,1,IZIN,7:00
2210013,SD1202,2022-09-08,2,izin,9:15
2210013,SD1202,2022-09-15,3,IZIN,9:15
2210013,SD1202,2022-09-22,4,SAKIT,9:45
2210013,SD1202,29/09/2022,5,hadir,8:30
2210013,SD1202,2022-10-06,6,IZIN,7:00
2210013,SD1202,2022-10-13,7,IZIN,9:45
2210013,SD1202,2022-10-20,8,sakit,8:30
2210013,SD1202,2022-10-27,9,H,7:30
2210013,SD1202,2022-11-03,10,sakit,7:00
2210013,SD1202,2022-11-10,11,hadir,9:15
2210013,SD1202,17/11/2022,12,izin,9:00
2210013,SD1202,2022-11-24,13,-,
2210013,SD1202,2022-12-01,14,H,7:15
2210014,IF1101,2022-09-01,1,alpa,
2210014,IF1101,2022-09-08,2,alpa,
2210014,IF1101,2022-09-15,3,hadir,7:30
2210014,IF1101,2022-09-22,4,hadir,8:45
2210014,IF1101,2022-09-29,5,IZIN,9:45
2210014,IF1101,2022-10-06,6,H,9:45
2210014,IF1101,2022-10-13,7,izin,7:00
2210014,IF1101,2022-10-20,,SAKIT,9:30
2210014,IF1101,2022-10-27,9,ALPA,
2210014,IF1101,2022-11-03,10,alpa,
2210014,IF1101,2022-11-10,11,ALPA,
2210014,IF1101,2022-11-17,12,izin,9:45
2210014,IF1101,2022-11-24,13,HADIR,7:30
