kode,desa,kode_kecamatan,kecamatan,kode_kabkot,kabkot
73.71.07.1013,Ujung Pandang Baru,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1014,Lembo,73.71.07,Tallo,73.71,Kota Makassar
73.71.07.1015,Bunga Eja Beru,73.71.07,Tallo,73.71,Kota Makassar
73.71.08.1002,Tabaringan,73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.08.1003,Patingalloang,73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.08.1004,Gusung,73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.08.1005,Cambaya,73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.08.1006,Ujung Tanah,73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.08.1009,Totaka,73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.08.1010,Tamalabba,73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.08.1011,Camba Berua,73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.08.1012,Patingalloang Baru,73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.09.1001,Karuwisi,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1002,Panaikang,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1003,Tello Baru,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1004,Pampang,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1005,Karampuang,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1006,Tamamaung,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1007,Masale,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1008,Pandang,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1009,Karuwisi Utara,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1010,Sinrijala,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.09.1011,Paropo,73.71.09,Panakkukang,73.71,Kota Makassar
73.71.10.1001,Barombong,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1002,Maccini Sombala,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1003,Jongaya,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1004,Mangasa,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1005,Bongaya,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1006,Balang Baru,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1007,Mannuruki,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1008,Pa'baeng-Baeng,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1009,Parang Tambung,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1010,Tanjung Merdeka,73.71.10,Tamalate,73.71,Kota Makassar
73.71.10.1011,Bonto Duri,73.71.10,Tamalate,73.71,Kota Makassar
73.71.11.1001,Paccerakkang,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1002,Daya,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1003,Pai,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1004,Bulurokeng,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1005,Sudiang,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1006,Sudiang Raya,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1007,Untia,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1008,Laikang,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1009,Berua,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1010,Katimbang,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.11.1011,Bakung,73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.12.1001,Manggala,73.71.12,Manggala,73.71,Kota Makassar
73.71.12.1002,Bangkala,73.71.12,Manggala,73.71,Kota Makassar
73.71.12.1003,Tamangapa,73.71.12,Manggala,73.71,Kota Makassar
73.71.12.1004,Antang,73.71.12,Manggala,73.71,Kota Makassar
73.71.12.1005,Batua,73.71.12,Manggala,73.71,Kota Makassar
73.71.12.1006,Borong,73.71.12,Manggala,73.71,Kota Makassar
73.71.12.1007,Biring Romang,73.71.12,Manggala,73.71,Kota Makassar
73.71.12.1008,Bitowa,73.71.12,Manggala,73.71,Kota Makassar
73.71.13.1001,Tidung,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1002,Kassi-Kassi,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1003,Mappala,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1004,Buakana,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1005,Bonto Makkio,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1006,Rappocini,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1007,Balla Parang,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1008,Banta-Bantaeng,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1009,Karunrung,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1010,Gunung Sari,73.71.13,Rappocini,73.71,Kota Makassar
73.71.13.1011,Minasa Upa,73.71.13,Rappocini,73.71,Kota Makassar
73.71.14.1001,Tamalanrea,73.71.14,Tamalanrea,73.71,Kota Makassar
73.71.14.1002,Kapasa,73.71.14,Tamalanrea,73.71,Kota Makassar
73.71.14.1003,Tamalanrea Indah,73.71.14,Tamalanrea,73.71,Kota Makassar
73.71.14.1004,Parang Loe,73.71.14,Tamalanrea,73.71,Kota Makassar
73.71.14.1005,Bira,73.71.14,Tamalanrea,73.71,Kota Makassar
73.71.14.1006,Tamalanrea Jaya,73.71.14,Tamalanrea,73.71,Kota Makassar
73.71.14.1007,Buntusu,73.71.14,Tamalanrea,73.71,Kota Makassar
73.71.14.1008,Kapasa Raya,73.71.14,Tamalanrea,73.71,Kota Makassar
73.71.15.1001,Barrang Caddi,73.71.15,Kepulauan Sangkarrang,73.71,Kota Makassar
73.71.15.1002,Barrang Lompo,73.71.15,Kepulauan Sangkarrang,73.71,Kota Makassar
73.71.15.1003,Kodingareng,73.71.15,Kepulauan Sangkarrang,73.71,Kota Makassar
