transaction_id,outlet_id,customer_id,tanggal_waktu,status,total_bayar
TRX-A250109-9312,OUT-A,CUST-00743,2025-01-09 15:53:00,PAID,106000
TRX-A250109-3774,OUT-A,CUST-00459,2025-01-09T02:45:00Z,PAID,81000
TRX-A250109-9164,OUT-A,CUST-00083,2025-01-09 07:07:00,PAID,71000
TRX-A250109-6448,OUT-A,CUST-00613,2025-01-09 07:20:00,REFUND,78000
TRX-A250109-7146,OUT-A,CUST-00242,2025-01-09 19:10:00,PAID,72000
TRX-A250109-4782,OUT-A,CUST-00342,2025-01-09 08:19:00,PAID,74000
TRX-A250109-9905,OUT-A,,2025-01-09 13:29:00,PAID,93000
TRX-A250109-9800,OUT-A,CUST-00351,2025-01-09 08:32:00,PAID,72000
TRX-A250110-2322,OUT-A,,2025-01-10 20:15:00,PAID,66000
TRX-A250110-2305,OUT-A,CUST-00516,2025-01-10 21:12:00,PAID,115000
TRX-A250110-9057,OUT-A,CUST-00097,2025-01-10 09:03:00,PAID,42000
TRX-A250110-8812,OUT-A,CUST-00554,2025-01-10 19:42:00,PAID,100000
TRX-A250110-1856,OUT-A,CUST-00116,2025-01-10 09:19:00,PAID,135000
TRX-A250110-3479,OUT-A,CUST-00341,2025-01-10 20:47:00,PAID,44000
TRX-A250110-1616,OUT-A,CUST-00305,2025-01-10T02:01:00Z,PAID,75000
TRX-A250110-6353,OUT-A,CUST-00739,2025-01-10 18:47:00,PAID,105000
TRX-A250111-4933,OUT-A,CUST-00581,2025-01-11T09:35:00Z,PAID,67000
TRX-A250111-3129,OUT-A,CUST-00677,2025-01-11 20:41:00,PAID,113000
TRX-A250111-8561,OUT-A,,2025-01-11T04:30:00Z,PAID,87000
TRX-A250111-7477,OUT-A,CUST-00050,2025-01-11 08:43:00,PAID,113000
TRX-A250111-6527,OUT-A,,2025-01-11 13:16:00,PAID,38000
TRX-A250111-7709,OUT-A,CUST-00270,2025-01-11 14:40:00,PAID,90000
TRX-A250111-2287,OUT-A,CUST-00241,2025-01-11T01:27:00Z,PAID,76000
TRX-A250111-4850,OUT-A,,2025-01-11 11:30:00,PAID,34000
TRX-A250111-5519,OUT-A,CUST-00003,2025-01-11 11:02:00,PAID,115000
TRX-A250112-4114,OUT-A,CUST-00166,2025-01-12 17:18:00,PAID,104000
TRX-A250112-6078,OUT-A,,2025-01-12 12:52:00,VOID,13000
TRX-A250112-2599,OUT-A,CUST-00194,2025-01-12 17:33:00,PAID,-3000
TRX-A250112-8697,OUT-A,CUST-00450,2025-01-12 17:06:00,PAID,110000
TRX-A250112-5297,OUT-A,CUST-00008,2025-01-12T09:05:00Z,PAID,116000
TRX-A250112-5671,OUT-A,CUST-00034,2025-01-12T12:15:00Z,PAID,63000
TRX-A250112-1207,OUT-A,CUST-00790,2025-01-12 19:53:00,PAID,65000
TRX-A250112-6483,OUT-A,CUST-00444,2025-01-12 14:34:00,PAID,63000
TRX-A250112-8295,OUT-A,CUST-00284,2025-01-12 20:38:00,PAID,39000
TRX-A250112-4303,OUT-A,,2025-01-12 08:47:00,PAID,103000
TRX-A250112-4611,OUT-A,CUST-00395,2025-01-12 15:54:00,PAID,108000
TRX-A250112-6929,OUT-A,CUST-00278,2025-01-12 21:42:00,PAID,61000
TRX-A250112-6950,OUT-A,CUST-00129,2025-01-12 20:55:00,PAID,80000
TRX-A250112-4665,OUT-A,,2025-01-12 14:56:00,PAID,57000
TRX-A250112-2274,OUT-A,CUST-00690,2025-01-12 07:27:00,PAID,165000
TRX-A250112-1624,OUT-A,CUST-00505,2025-01-12 09:08:00,PAID,90000
TRX-A250112-4035,OUT-A,CUST-00591,2025-01-12T07:49:00Z,PAID,98000
TRX-A250112-9370,OUT-A,CUST-00628,2025-01-12 08:17:00,PAID,52000
TRX-A250112-6441,OUT-A,CUST-00041,2025-01-12 21:01:00,PAID,108000
TRX-A250112-2472,OUT-A,CUST-00206,2025-01-12 16:41:00,PAID,82000
TRX-A250112-5541,OUT-A,CUST-00597,2025-01-12 18:48:00,PAID,85000
TRX-A250113-2289,OUT-A,CUST-00209,2025-01-13 10:39:00,PAID,90000
TRX-A250113-7545,OUT-A,CUST-00066,2025-01-13 19:08:00,PAID,63000
TRX-A250113-5360,OUT-A,CUST-00410,2025-01-13 19:23:00,PAID,73000
TRX-A250113-7923,OUT-A,CUST-00187,2025-01-13 21:14:00,PAID,68000
TRX-A250113-4575,OUT-A,CUST-00606,2025-01-13 20:26:00,PAID,54000
TRX-A250113-4236,OUT-A,CUST-00422,2025-01-13 14:08:00,PAID,52000
TRX-A250113-3220,OUT-A,,2025-01-13 15:15:00,REFUND,31000
TRX-A250113-9136,OUT-A,CUST-00772,2025-01-13 11:45:00,PAID,61000
TRX-A250113-3799,OUT-A,CUST-00696,2025-01-13 19:48:00,PAID,50000
TRX-A250114-1121,OUT-A,CUST-00349,2025-01-14 18:39:00,PAID,65000
TRX-A250114-4541,OUT-A,CUST-00151,2025-01-14 14:35:00,PAID,72000
TRX-A250114-7298,OUT-A,CUST-00033,2025-01-14 16:31:00,PAID,57000
TRX-A250114-5585,OUT-A,CUST-00223,2025-01-14 19:28:00,PAID,65000
TRX-A250114-7218,OUT-A,CUST-00087,2025-01-14 20:51:00,PAID,71000
TRX-A250114-1059,OUT-A,CUST-00127,2025-01-14 12:17:00,PAID,55000
TRX-A250114-2088,OUT-A,,2025-01-14 10:11:00,PAID,79000
TRX-A250114-6673,OUT-A,CUST-00234,2025-01-14 11:32:00,paid,23000
TRX-A250114-9616,OUT-A,CUST-00410,2025-01-14 21:38:00,PAID,50000
TRX-A250114-7131,OUT-A,CUST-00351,2025-01-14 16:53:00,PAID,63000
TRX-A250114-9551,OUT-A,CUST-00359,2025-01-14 14:56:00,PAID,57000
TRX-A250114-1016,OUT-A,CUST-00310,2025-01-14 08:24:00,PAID,35000
TRX-A250114-5707,OUT-A,,2025-01-14 14:03:00,PAID,57000
TRX-A250114-2965,OUT-A,CUST-00054,2025-01-14 16:33:00,PAID,63000
TRX-A250114-2932,OUT-A,CUST-00587,2025-01-14 14:04:00,PAID,141000
TRX-A250114-3683,OUT-A,CUST-00111,2025-01-14 17:44:00,PAID,57000
TRX-A250114-3925,OUT-A,CUST-00361,2025-01-14 11:43:00,PAID,61000
TRX-A250114-7694,OUT-A,,2025-01-14 12:52:00,PAID,65000
TRX-A250114-3799,OUT-A,CUST-00096,2025-01-14 21:31:00,PAID,54000
TRX-A250114-8338,OUT-A,,2025-01-14 15:30:00,PAID,37000
TRX-A250114-1050,OUT-A,,2025-01-14 09:55:00,PAID,51000
TRX-A250115-9483,OUT-A,CUST-00326,2025-01-15T12:03:00Z,VOID,94000
TRX-A250115-2040,OUT-A,CUST-00674,2025-01-15 10:57:00,PAID,80000
TRX-A250115-8214,OUT-A,CUST-00132,2025-01-15 13:49:00,PAID,92000
TRX-A250115-9986,OUT-A,CUST-00294,2025-01-15 14:36:00,PAID,78000
TRX-A250115-4663,OUT-A,CUST-00460,2025-01-15 08:36:00,PAID,66000
TRX-A250115-1304,OUT-A,,2025-01-15 10:37:00,VOID,6000
TRX-A250115-6674,OUT-A,CUST-00302,2025-01-15T01:33:00Z,PAID,61000
TRX-A250115-4794,OUT-A,CUST-00357,2025-01-15T09:08:00Z,PAID,111000
TRX-A250115-1829,OUT-A,CUST-00178,2025-01-15 17:11:00,PAID,37000
TRX-A250115-6774,OUT-A,CUST-00127,2025-01-15 15:30:00,PAID,0
TRX-A250116-2509,OUT-A,CUST-00427,2025-01-16 08:17:00,PAID,4000
TRX-A250116-3032,OUT-A,CUST-00283,2025-01-16T03:16:00Z,PAID,49000
TRX-A250116-2396,OUT-A,,2025-01-16T04:52:00Z,PAID,33000
TRX-A250116-1040,OUT-A,CUST-00492,2025-01-16T03:34:00Z,PAID,47000
TRX-A250116-4199,OUT-A,CUST-00111,2025-01-16 14:12:00,PAID,60000
TRX-A250116-2443,OUT-A,CUST-00360,2025-01-16 15:06:00,PAID,38000
TRX-A250116-2747,OUT-A,CUST-00489,2025-01-16 19:15:00,PAID,75000
TRX-A250116-1274,OUT-A,CUST-00097,2025-01-16 15:25:00,PAID,91000
TRX-A250116-9224,OUT-A,CUST-00039,2025-01-16 17:17:00,PAID,44000
TRX-A250116-4336,OUT-A,,2025-01-16T03:58:00Z,PAID,64000
TRX-A250116-8964,OUT-A,CUST-00367,2025-01-16 12:52:00,PAID,52000
TRX-A250116-1084,OUT-A,CUST-00735,2025-01-16 18:16:00,VOID,104000
TRX-A250116-1047,OUT-A,CUST-00636,2025-01-16T03:59:00Z,PAID,153000
TRX-A250117-9536,OUT-A,CUST-00108,2025-01-17 12:01:00,PAID,125000
TRX-A250117-2181,OUT-A,CUST-00658,2025-01-17 16:36:00,PAID,60000
TRX-A250117-3531,OUT-A,CUST-00366,2025-01-17 17:13:00,PAID,-27000
TRX-A250117-6374,OUT-A,CUST-00340,2025-01-17 07:00:00,PAID,74000
TRX-A250117-9491,OUT-A,CUST-00119,2025-01-17 15:36:00,PAID,49000
TRX-A250117-9103,OUT-A,CUST-00330,2025-01-17 07:15:00,PAID,90000
TRX-A250117-9922,OUT-A,CUST-00048,2025-01-17 13:26:00,PAID,85000
TRX-A250117-9335,OUT-A,,2025-01-17 21:08:00,PAID,73000
TRX-A250117-2463,OUT-A,CUST-00794,2025-01-17 09:57:00,PAID,93000
TRX-A250117-8325,OUT-A,CUST-00523,2025-01-17 07:30:00,PAID,88000
TRX-A250117-9166,OUT-A,CUST-00242,2025-01-17 20:56:00,PAID,76000
TRX-A250117-6677,OUT-A,CUST-00029,2025-01-17T10:33:00Z,PAID,90000
TRX-A250118-9859,OUT-A,CUST-00703,2025-01-18 17:59:00,PAID,50000
TRX-A250118-3354,OUT-A,CUST-00592,2025-01-18T01:21:00Z,PAID,95000
TRX-A250118-6978,OUT-A,CUST-00516,2025-01-18 19:45:00,PAID,71000
TRX-A250118-9146,OUT-A,,2025-01-18T02:04:00Z,PAID,112000
TRX-A250118-7090,OUT-A,CUST-00730,2025-01-18 12:54:00,PAID,86000
TRX-A250118-2415,OUT-A,CUST-00795,2025-01-18 21:00:00,PAID,74000
TRX-A250118-1125,OUT-A,CUST-00241,2025-01-18 11:49:00,paid,140000
TRX-A250118-2478,OUT-A,,2025-01-18T06:35:00Z,PAID,86000
TRX-A250118-4849,OUT-A,CUST-00178,2025-01-18 14:38:00,PAID,103000
TRX-A250118-3489,OUT-A,,2025-01-18 20:44:00,PAID,66000
TRX-A250118-1816,OUT-A,CUST-00272,2025-01-18 21:34:00,PAID,54000
TRX-A250118-3438,OUT-A,CUST-00099,2025-01-18 12:48:00,PAID,27000
TRX-A250118-2035,OUT-A,CUST-00722,2025-01-18 11:58:00,PAID,40000
TRX-A250118-9821,OUT-A,CUST-00626,2025-01-18 13:11:00,PAID,101000
TRX-A250118-7729,OUT-A,CUST-00412,2025-01-18 17:23:00,PAID,53000
TRX-A250118-7124,OUT-A,CUST-00063,2025-01-18 20:03:00,PAID,45000
TRX-A250118-7110,OUT-A,CUST-00601,2025-01-18 18:50:00,PAID,139000
TRX-A250119-3868,OUT-A,CUST-00506,2025-01-19 18:55:00,PAID,83000
TRX-A250119-3471,OUT-A,,2025-01-19 15:25:00,PAID,43000
TRX-A250119-8460,OUT-A,CUST-00722,2025-01-19 13:07:00,PAID,63000
TRX-A250119-5890,OUT-A,CUST-00665,2025-01-19 21:37:00,PAID,47000
TRX-A250119-1543,OUT-A,CUST-00365,2025-01-19 16:00:00,PAID,72000
TRX-A250119-7566,OUT-A,,2025-01-19 19:01:00,PAID,79000
TRX-A250119-7098,OUT-A,CUST-00695,2025-01-19 08:25:00,PAID,151000
TRX-A250119-9131,OUT-A,,2025-01-19 09:02:00,PAID,37000
TRX-A250120-3607,OUT-A,CUST-00200,2025-01-20 11:44:00,PAID,83000
TRX-A250120-7872,OUT-A,CUST-00686,2025-01-20 07:43:00,PAID,30000
TRX-A250120-1352,OUT-A,CUST-00195,2025-01-20 15:17:00,REFUND,67000
TRX-A250120-7854,OUT-A,,2025-01-20 10:29:00,PAID,62000
TRX-A250120-5307,OUT-A,,2025-01-20 11:59:00,PAID,96000
TRX-A250120-7609,OUT-A,CUST-00579,2025-01-20 12:27:00,PAID,141000
TRX-A250120-2963,OUT-A,,2025-01-20 21:49:00,PAID,109000
TRX-A250120-4513,OUT-A,CUST-00799,2025-01-20 15:36:00,PAID,31000
TRX-A250120-8015,OUT-A,CUST-00738,2025-01-20 11:25:00,PAID,31000
TRX-A250120-4340,OUT-A,CUST-00567,2025-01-20 14:59:00,PAID,56000
TRX-A250120-9317,OUT-A,,2025-01-20 14:57:00,PAID,40000
TRX-A250120-2344,OUT-A,,2025-01-20 19:20:00,PAID,118000
TRX-A250120-2738,OUT-A,CUST-00519,2025-01-20 21:38:00,PAID,37000
TRX-A250120-5421,OUT-A,CUST-00140,2025-01-20 19:50:00,PAID,69000
TRX-A250120-7968,OUT-A,CUST-00203,2025-01-20T08:35:00Z,PAID,60000
TRX-A250120-9087,OUT-A,CUST-00363,2025-01-20 11:35:00,PAID,93000
TRX-A250121-6464,OUT-A,CUST-00007,2025-01-21 13:07:00,PAID,108000
TRX-A250121-2352,OUT-A,CUST-00720,2025-01-21 13:29:00,PAID,69000
TRX-A250121-7409,OUT-A,CUST-00463,2025-01-21 11:30:00,paid,96000
TRX-A250121-3452,OUT-A,,2025-01-21T10:28:00Z,PAID,75000
TRX-A250121-6550,OUT-A,CUST-00762,2025-01-21 14:01:00,PAID,78000
TRX-A250121-6525,OUT-A,,2025-01-21 08:31:00,PAID,58000
TRX-A250121-9368,OUT-A,CUST-00382,2025-01-21 10:33:00,PAID,77000
TRX-A250121-4213,OUT-A,CUST-00184,2025-01-21 08:16:00,PAID,53000
TRX-A250121-1083,OUT-A,CUST-00651,2025-01-21 10:34:00,PAID,109000
TRX-A250121-8067,OUT-A,CUST-00108,2025-01-21 16:30:00,PAID,79000
TRX-A250121-4236,OUT-A,CUST-00652,2025-01-21 17:24:00,PAID,-14000
TRX-A250121-3024,OUT-A,CUST-00355,2025-01-21 19:10:00,PAID,-14000
TRX-A250121-7602,OUT-A,CUST-00240,2025-01-21 15:46:00,PAID,52000
TRX-A250121-8171,OUT-A,CUST-00384,2025-01-21 15:05:00,PAID,36000
TRX-A250121-4357,OUT-A,,2025-01-21T07:50:00Z,PAID,23000
TRX-A250121-1679,OUT-A,CUST-00372,2025-01-21 16:24:00,PAID,135000
TRX-A250122-3161,OUT-A,CUST-00571,2025-01-22 19:35:00,PAID,80000
TRX-A250122-2930,OUT-A,CUST-00188,2025-01-22T07:28:00Z,PAID,55000
TRX-A250122-7996,OUT-A,,2025-01-22 13:36:00,PAID,94000
TRX-A250122-4675,OUT-A,,2025-01-22T09:45:00Z,PAID,56000
TRX-A250122-8061,OUT-A,,2025-01-22 16:58:00,PAID,50000
TRX-A250122-7109,OUT-A,CUST-00154,2025-01-22 12:31:00,PAID,53000
TRX-A250122-7221,OUT-A,CUST-00222,2025-01-22 10:05:00,PAID,84000
TRX-A250122-6274,OUT-A,CUST-00022,2025-01-22 10:33:00,PAID,138000
TRX-A250123-2647,OUT-A,,2025-01-23T09:47:00Z,PAID,85000
TRX-A250123-9763,OUT-A,CUST-00461,2025-01-23T09:54:00Z,PAID,88000
TRX-A250123-2903,OUT-A,CUST-00135,2025-01-23 11:50:00,PAID,99000
TRX-A250123-3691,OUT-A,CUST-00125,2025-01-23 08:35:00,PAID,100000
TRX-A250123-3562,OUT-A,,2025-01-23 17:44:00,PAID,66000
TRX-A250123-4536,OUT-A,CUST-00752,2025-01-23 11:59:00,PAID,37000
TRX-A250123-7795,OUT-A,CUST-00024,2025-01-23T13:13:00Z,PAID,62000
TRX-A250123-7780,OUT-A,CUST-00751,2025-01-23 17:49:00,PAID,58000
TRX-A250123-4325,OUT-A,,2025-01-23T12:08:00Z,PAID,0
TRX-A250123-7227,OUT-A,CUST-00196,2025-01-23 16:13:00,PAID,76000
TRX-A250123-1962,OUT-A,,2025-01-23 21:07:00,PAID,65000
TRX-A250123-3691,OUT-A,,2025-01-23 13:04:00,PAID,67000
TRX-A250123-5285,OUT-A,CUST-00762,2025-01-23 10:51:00,PAID,119000
TRX-A250123-1198,OUT-A,CUST-00057,2025-01-23 16:24:00,PAID,83000
TRX-A250123-9319,OUT-A,CUST-00238,2025-01-23 15:51:00,PAID,41000
TRX-A250123-1166,OUT-A,CUST-00168,2025-01-23 16:12:00,PAID,33000
TRX-A250123-1210,OUT-A,CUST-00574,2025-01-23 16:32:00,PAID,160000
TRX-A250123-7527,OUT-A,CUST-00142,2025-01-23 10:36:00,PAID,84000
TRX-A250123-6558,OUT-A,,2025-01-23 13:31:00,PAID,30000
TRX-A250124-4705,OUT-A,CUST-00789,2025-01-24 12:06:00,PAID,63000
TRX-A250124-2969,OUT-A,CUST-00227,2025-01-24T06:00:00Z,PAID,69000
TRX-A250124-1763,OUT-A,CUST-00704,2025-01-24 21:26:00,PAID,56000
TRX-A250124-1042,OUT-A,CUST-00567,2025-01-24 11:29:00,PAID,159000
TRX-A250124-3045,OUT-A,,2025-01-24 13:16:00,PAID,88000
TRX-A250124-8233,OUT-A,CUST-00403,2025-01-24 21:28:00,PAID,85000
TRX-A250124-2329,OUT-A,CUST-00799,2025-01-24 20:59:00,PAID,103000
TRX-A250124-9338,OUT-A,CUST-00637,2025-01-24 21:30:00,PAID,85000
TRX-A250125-7346,OUT-A,CUST-00770,2025-01-25 16:16:00,PAID,58000
TRX-A250125-5133,OUT-A,,2025-01-25 18:47:00,PAID,73000
TRX-A250125-3007,OUT-A,,2025-01-25 15:13:00,PAID,85000
TRX-A250125-6032,OUT-A,,2025-01-25 20:36:00,PAID,64000
TRX-A250125-8900,OUT-A,CUST-00574,2025-01-25 11:24:00,PAID,88000
TRX-A250125-9695,OUT-A,,2025-01-25 15:01:00,PAID,114000
TRX-A250125-4657,OUT-A,,2025-01-25 17:07:00,PAID,89000
TRX-A250125-9624,OUT-A,CUST-00685,2025-01-25 15:36:00,PAID,54000
TRX-A250125-3773,OUT-A,,2025-01-25T14:04:00Z,PAID,30000
TRX-A250125-2502,OUT-A,,2025-01-25 10:30:00,PAID,75000
TRX-A250126-1298,OUT-A,CUST-00135,2025-01-26 07:47:00,PAID,48000
TRX-A250126-3599,OUT-A,,2025-01-26 13:14:00,PAID,42000
