item_id,transaction_id,product_id,qty,harga_satuan,diskon
ITM-0000078,TRX-A250104-1759,PRD-0117,1,12000,1000
ITM-0000079,TRX-A250104-1759,PRD-0069,1,32000,2000
ITM-0000080,TRX-A250104-2510,PRD-0093,3,45000,0
ITM-0000081,TRX-A250104-9175,PRD-0062,1,18000,0
ITM-0000082,TRX-A250104-9175,PRD-0072,1,20000,0
ITM-0000083,TRX-A250104-3300,PRD-0088,1,45000,0
ITM-0000084,TRX-A250104-2766,PRD-0002,2,12000,0
ITM-0000085,TRX-A250104-6305,PRD-0041,1,12000,2000
ITM-0000086,TRX-A250104-6305,PRD-0023,1,20000,0
ITM-0000087,TRX-A250104-7943,PRD-0031,1,22000,1000
ITM-0000088,TRX-A250104-7943,PRD-0041,1,12000,0
ITM-0000089,TRX-A250104-4954,PRD-0065,1,45000,5000
ITM-0000090,TRX-A250104-6508,PRD-0011,2,28000,0
ITM-0000091,TRX-A250104-6508,PRD-0046,1,32000,0
ITM-0000092,TRX-A250104-6508,PRD-0047,3,22000,0
ITM-0000093,TRX-A250104-2243,PRD-0009,1,12000,1000
ITM-0000094,TRX-A250104-4473,PRD-0106,1,45000,2000
ITM-0000095,TRX-A250104-4473,PRD-0079,1,32000,0
ITM-0000096,TRX-A250104-4473,PRD-0065,1,45000,0
ITM-0000097,TRX-A250104-7102,PRD-0024,1,12000,1000
ITM-0000098,TRX-A250104-7102,PRD-0055,1,20000,1000
ITM-0000099,TRX-A250104-8959,PRD-0096,1,18000,0
ITM-0000100,TRX-A250104-1600,PRD-0009,2,12000,0
ITM-0000101,TRX-A250104-1600,PRD-0011,1,28000,2000
ITM-0000102,TRX-A250105-9101,PRD-0034,1,45000,2000
ITM-0000103,TRX-A250105-8182,PRD-0090,1,18000,0
ITM-0000104,TRX-A250105-8182,PRD-0049,3,22000,2000
ITM-0000105,TRX-A250105-8182,PRD-0023,3,20000,1000
ITM-0000106,TRX-A250105-9306,PRD-0102,1,15000,0
ITM-0000107,TRX-A250105-9306,PRD-0103,1,28000,0
ITM-0000108,TRX-A250105-4925,PRD-0092,1,32000,5000
ITM-0000109,TRX-A250105-4282,PRD-0108,1,25000,2000
ITM-0000110,TRX-A250105-4282,PRD-0120,3,15000,2000
ITM-0000111,TRX-A250105-4282,PRD-0017,1,18000,5000
ITM-0000112,TRX-A250105-5315,PRD-0061,1,28000,0
ITM-0000113,TRX-A250105-5315,PRD-0014,3,15000,1000
ITM-0000114,TRX-A250105-7117,PRD-0082,2,18000,5000
ITM-0000115,TRX-A250105-7117,PRD-0083,1,20000,0
ITM-0000116,TRX-A250105-7117,PRD-0008,3,12000,5000
ITM-0000117,TRX-A250105-7718,PRD-0059,1,12000,5000
ITM-0000118,TRX-A250105-5776,PRD-0019,2,25000,0
ITM-0000119,TRX-A250105-5776,PRD-0044,1,32000,2000
ITM-0000120,TRX-A250105-2332,PRD-0112,1,32000,0
ITM-0000121,TRX-A250105-9713,PRD-0089,3,25000,0
ITM-0000122,TRX-A250105-2949,PRD-0012,1,25000,0
ITM-0000123,TRX-A250105-8082,PRD-0003,1,45000,0
ITM-0000124,TRX-A250105-8082,PRD-0011,2,28000,0
ITM-0000125,TRX-A250105-8082,PRD-0045,1,12000,2000
ITM-0000126,TRX-A250105-5316,PRD-0080,2,28000,0
ITM-0000127,TRX-A250105-2526,PRD-0054,1,15000,5000
ITM-0000128,TRX-A250105-2661,PRD-0058,1,32000,5000
ITM-0000129,TRX-A250105-2661,PRD-0050,1,32000,5000
ITM-0000130,TRX-A250106-9172,PRD-0104,3,12000,2000
ITM-0000131,TRX-A250106-9172,PRD-0107,1,15000,0
ITM-0000132,TRX-A250106-7337,PRD-0024,3,12000,0
ITM-0000133,TRX-A250106-1376,PRD-0021,2,32000,0
ITM-0000134,TRX-A250106-1376,PRD-0013,2,12000,2000
ITM-0000135,TRX-A250106-1376,PRD-0101,1,28000,2000
ITM-0000136,TRX-A250106-1575,PRD-0001,2,25000,5000
ITM-0000137,TRX-A250106-1575,PRD-0110,1,20000,2000
ITM-0000138,TRX-A250106-2583,PRD-0107,1,15000,1000
ITM-0000139,TRX-A250106-2583,PRD-0120,2,15000,0
ITM-0000140,TRX-A250106-8670,PRD-0009,1,12000,2000
ITM-0000141,TRX-A250106-8670,PRD-0022,2,18000,0
ITM-0000142,TRX-A250106-5596,PRD-0072,2,20000,0
ITM-0000143,TRX-A250106-5596,PRD-0054,1,15000,1000
ITM-0000144,TRX-A250106-5596,PRD-0041,1,12000,2000
ITM-0000145,TRX-A250106-9042,PRD-0041,2,12000,5000
ITM-0000146,TRX-A250106-3476,PRD-0037,2,20000,5000
ITM-0000147,TRX-A250106-6076,PRD-0110,1,20000,0
ITM-0000148,TRX-A250106-6076,PRD-0001,1,25000,5000
ITM-0000149,TRX-A250106-7764,PRD-0102,2,15000,2000
ITM-0000150,TRX-A250106-7764,PRD-0105,2,12000,5000
ITM-0000151,TRX-A250106-5490,PRD-0084,2,28000,0
ITM-0000152,TRX-A250106-5490,PRD-0006,1,20000,5000
ITM-0000153,TRX-A250106-5490,PRD-0027,2,25000,0
ITM-0000154,TRX-A250106-4720,PRD-0077,2,22000,0
ITM-0000155,TRX-A250107-2173,PRD-0042,2,45000,2000
ITM-0000156,TRX-A250107-4877,PRD-0051,1,28000,0
ITM-0000157,TRX-A250107-4877,PRD-0057,3,15000,2000
ITM-0000158,TRX-A250107-3550,PRD-0030,2,32000,1000
ITM-0000159,TRX-A250107-3550,PRD-0068,1,20000,0
ITM-0000160,TRX-A250107-8683,PRD-0098,1,18000,0
ITM-0000161,TRX-A250107-8683,PRD-0030,3,32000,2000
ITM-0000162,TRX-A250107-5950,PRD-0029,2,32000,0
ITM-0000163,TRX-A250107-5950,PRD-0086,1,32000,2000
ITM-0000164,TRX-A250107-5950,PRD-0117,1,12000,0
ITM-0000165,TRX-A250107-8273,PRD-0046,1,32000,2000
ITM-0000166,TRX-A250107-8273,PRD-0023,1,20000,2000
ITM-0000167,TRX-A250107-8464,PRD-0067,1,22000,0
ITM-0000168,TRX-A250107-8464,PRD-0092,1,32000,0
ITM-0000169,TRX-A250107-1365,PRD-0076,3,20000,5000
ITM-0000170,TRX-A250107-1365,PRD-0116,1,45000,0
ITM-0000171,TRX-A250107-1365,PRD-0116,2,45000,5000
ITM-0000172,TRX-A250107-4518,PRD-0072,2,20000,0
ITM-0000173,TRX-A250107-4079,PRD-0039,2,22000,0
ITM-0000174,TRX-A250107-4079,PRD-0069,1,32000,0
ITM-0000175,TRX-A250107-2391,PRD-0002,1,12000,0
ITM-0000176,TRX-A250107-2391,PRD-0040,1,22000,2000
ITM-0000177,TRX-A250107-2391,PRD-0118,1,20000,1000
ITM-0000178,TRX-A250107-5792,PRD-0048,1,28000,0
ITM-0000179,TRX-A250107-5792,PRD-0035,1,12000,5000
ITM-0000180,TRX-A250107-5792,PRD-0048,1,28000,0
ITM-0000181,TRX-A250107-3660,PRD-0087,1,12000,5000
ITM-0000182,TRX-A250107-7799,PRD-0029,1,32000,0
ITM-0000183,TRX-A250107-7799,PRD-0041,2,12000,1000
ITM-0000184,TRX-A250107-7799,PRD-0040,3,22000,1000
ITM-0000185,TRX-A250107-7809,PRD-0048,2,28000,5000
ITM-0000186,TRX-A250107-4308,PRD-0078,2,20000,5000
ITM-0000187,TRX-A250107-4308,PRD-0103,1,28000,0
ITM-0000188,TRX-A250107-4295,PRD-0039,1,22000,0
ITM-0000189,TRX-A250107-4295,PRD-0013,3,12000,5000
ITM-0000190,TRX-A250107-4295,PRD-0030,2,32000,0
ITM-0000191,TRX-A250108-3600,PRD-0076,3,20000,2000
ITM-0000192,TRX-A250108-3600,PRD-0005,2,12000,0
ITM-0000193,TRX-A250108-1212,PRD-0039,2,22000,0
ITM-0000194,TRX-A250108-1212,PRD-0093,2,45000,0
ITM-0000195,TRX-A250108-1212,PRD-0090,1,18000,2000
ITM-0000196,TRX-A250108-6332,PRD-0054,2,15000,0
ITM-0000197,TRX-A250108-6332,PRD-0012,1,25000,0
ITM-0000198,TRX-A250108-1535,PRD-0053,1,45000,1000
ITM-0000199,TRX-A250108-1535,PRD-0058,2,32000,5000
ITM-0000200,TRX-A250108-1535,PRD-0021,1,32000,0
ITM-0000201,TRX-A250108-5179,PRD-0009,2,12000,0
ITM-0000202,TRX-A250108-5179,PRD-0016,1,18000,0
ITM-0000203,TRX-A250108-4076,PRD-0015,2,15000,1000
ITM-0000204,TRX-A250108-4076,PRD-0034,1,45000,5000
ITM-0000205,TRX-A250108-4076,PRD-0094,1,20000,0
ITM-0000206,TRX-A250108-8192,PRD-0103,2,28000,0
ITM-0000207,TRX-A250108-8192,PRD-0097,1,18000,2000
ITM-0000208,TRX-A250108-7223,PRD-0002,1,12000,1000
ITM-0000209,TRX-A250109-9504,PRD-0017,1,18000,5000
ITM-0000210,TRX-A250109-9504,PRD-0046,1,32000,2000
ITM-0000211,TRX-A250109-2667,PRD-0022,2,18000,5000
ITM-0000212,TRX-A250109-2667,PRD-0027,1,25000,2000
ITM-0000213,TRX-A250109-2667,PRD-0117,1,12000,2000
ITM-0000214,TRX-A250109-9312,PRD-0079,1,32000,0
ITM-0000215,TRX-A250109-9312,PRD-0088,1,45000,5000
ITM-0000216,TRX-A250109-9312,PRD-0036,3,22000,0
ITM-0000217,TRX-A250109-3774,PRD-0120,1,15000,0
ITM-0000218,TRX-A250109-9164,PRD-0061,2,28000,0
ITM-0000219,TRX-A250109-6448,PRD-0087,2,12000,2000
ITM-0000220,TRX-A250109-7146,PRD-0066,2,25000,0
ITM-0000221,TRX-A250109-4782,PRD-0002,2,12000,0
ITM-0000222,TRX-A250109-9905,PRD-0001,2,25000,5000
ITM-0000223,TRX-A250109-9905,PRD-0066,2,25000,2000
ITM-0000224,TRX-A250109-9800,PRD-0002,2,12000,0
ITM-0000225,TRX-A250110-2322,PRD-0118,1,20000,0
ITM-0000226,TRX-A250110-2322,PRD-0082,2,18000,0
ITM-0000227,TRX-A250110-2322,PRD-0086,1,32000,2000
ITM-0000228,TRX-A250110-2305,PRD-0104,1,12000,0
ITM-0000229,TRX-A250110-2305,PRD-0011,2,28000,5000
ITM-0000230,TRX-A250110-2305,PRD-0007,2,32000,0
ITM-0000231,TRX-A250110-9057,PRD-0042,3,45000,0
ITM-0000232,TRX-A250110-9057,PRD-0097,1,18000,2000
ITM-0000233,TRX-A250110-9057,PRD-0048,1,28000,2000
ITM-0000234,TRX-A250110-8812,PRD-0114,1,25000,0
ITM-0000235,TRX-A250110-8812,PRD-0041,1,12000,2000
ITM-0000236,TRX-A250110-8812,PRD-0056,2,45000,0
ITM-0000237,TRX-A250110-1856,PRD-0099,2,45000,0
ITM-0000238,TRX-A250110-1856,PRD-0108,2,25000,5000
ITM-0000239,TRX-A250110-3479,PRD-0012,1,25000,1000
ITM-0000240,TRX-A250110-3479,PRD-0004,1,20000,0
ITM-0000241,TRX-A250110-1616,PRD-0091,2,28000,1000
ITM-0000242,TRX-A250110-6353,PRD-0110,1,20000,5000
ITM-0000243,TRX-A250110-6353,PRD-0093,2,45000,0
ITM-0000244,TRX-A250111-4933,PRD-0028,2,32000,0
ITM-0000245,TRX-A250111-4933,PRD-0013,1,12000,0
ITM-0000246,TRX-A250111-4933,PRD-0018,2,28000,1000
ITM-0000247,TRX-A250111-3129,PRD-0095,3,20000,2000
ITM-0000248,TRX-A250111-8561,PRD-0024,2,12000,0
ITM-0000249,TRX-A250111-8561,PRD-0037,3,20000,0
ITM-0000250,TRX-A250111-8561,PRD-0070,1,32000,5000
ITM-0000251,TRX-A250111-7477,PRD-0089,1,25000,2000
ITM-0000252,TRX-A250111-7477,PRD-0119,2,45000,0
ITM-0000253,TRX-A250111-6527,PRD-0039,1,22000,0
ITM-0000254,TRX-A250111-6527,PRD-0054,1,15000,0
ITM-0000255,TRX-A250111-6527,PRD-0060,2,12000,1000
ITM-0000256,TRX-A250111-7709,PRD-0006,2,20000,1000
ITM-0000257,TRX-A250111-7709,PRD-0011,2,28000,5000
ITM-0000258,TRX-A250111-2287,PRD-0120,2,15000,5000
ITM-0000259,TRX-A250111-4850,PRD-0090,1,18000,5000
ITM-0000260,TRX-A250111-4850,PRD-0039,1,22000,1000
ITM-0000261,TRX-A250111-5519,PRD-0090,1,18000,2000
ITM-0000262,TRX-A250111-5519,PRD-0019,1,25000,0
ITM-0000263,TRX-A250111-5519,PRD-0065,2,45000,0
ITM-0000264,TRX-A250112-4114,PRD-0014,1,15000,1000
ITM-0000265,TRX-A250112-6078,PRD-0003,2,45000,2000
ITM-0000266,TRX-A250112-6078,PRD-0075,2,15000,0
ITM-0000267,TRX-A250112-6078,PRD-0057,-1,15000,2000
ITM-0000268,TRX-A250112-2599,PRD-0006,2,20000,0
ITM-0000269,TRX-A250112-2599,PRD-0078,-1,20000,1000
ITM-0000270,TRX-A250112-2599,PRD-0083,1,20000,2000
ITM-0000271,TRX-A250112-8697,PRD-0078,1,20000,0
ITM-0000272,TRX-A250112-8697,PRD-0106,2,45000,0
ITM-0000273,TRX-A250112-5297,PRD-0051,3,28000,0
ITM-0000274,TRX-A250112-5297,PRD-0044,1,32000,0
ITM-0000275,TRX-A250112-5671,PRD-0016,1,18000,0
ITM-0000276,TRX-A250112-5671,PRD-0057,3,15000,0
ITM-0000277,TRX-A250112-1207,PRD-0085,3,18000,2000
ITM-0000278,TRX-A250112-1207,PRD-0027,2,25000,5000
ITM-0000279,TRX-A250112-1207,PRD-0073,1,20000,0
ITM-0000280,TRX-A250112-6483,PRD-0105,1,12000,2000
ITM-0000281,TRX-A250112-6483,PRD-0117,2,12000,5000
ITM-0000282,TRX-A250112-6483,PRD-0067,2,22000,0
ITM-0000283,TRX-A250112-8295,PRD-0070,1,32000,0
ITM-0000284,TRX-A250112-8295,PRD-0059,1,12000,5000
ITM-0000285,TRX-A250112-4303,PRD-0021,3,32000,0
ITM-0000286,TRX-A250112-4611,PRD-0100,1,28000,0
ITM-0000287,TRX-A250112-4611,PRD-0064,3,32000,5000
ITM-0000288,TRX-A250112-4611,PRD-0036,1,22000,5000
ITM-0000289,TRX-A250112-6929,PRD-0098,1,18000,2000
ITM-0000290,TRX-A250112-6929,PRD-0056,1,45000,0
ITM-0000291,TRX-A250112-6950,PRD-0022,2,18000,1000
ITM-0000292,TRX-A250112-4665,PRD-0090,1,18000,5000
ITM-0000293,TRX-A250112-4665,PRD-0042,1,45000,1000
ITM-0000294,TRX-A250112-2274,PRD-0038,1,45000,2000
ITM-0000295,TRX-A250112-2274,PRD-0099,2,45000,0
ITM-0000296,TRX-A250112-2274,PRD-0001,3,25000,0
ITM-0000297,TRX-A250112-1624,PRD-0091,1,28000,0
ITM-0000298,TRX-A250112-1624,PRD-0092,2,32000,2000
ITM-0000299,TRX-A250112-4035,PRD-0111,2,18000,0
ITM-0000300,TRX-A250112-9370,PRD-0054,1,15000,1000
ITM-0000301,TRX-A250112-9370,PRD-0073,2,20000,2000
ITM-0000302,TRX-A250112-6441,PRD-0098,1,18000,0
ITM-0000303,TRX-A250112-6441,PRD-0015,2,15000,5000
ITM-0000304,TRX-A250112-6441,PRD-0051,3,28000,1000
ITM-0000305,TRX-A250112-2472,PRD-0054,1,15000,0
ITM-0000306,TRX-A250112-2472,PRD-0022,2,18000,2000
ITM-0000307,TRX-A250112-2472,PRD-0114,2,25000,2000
ITM-0000308,TRX-A250112-5541,PRD-0011,2,28000,5000
ITM-0000309,TRX-A250112-5541,PRD-0099,1,45000,5000
ITM-0000310,TRX-A250112-5541,PRD-0019,2,25000,5000
ITM-0000311,TRX-A250113-2289,PRD-0107,3,15000,0
ITM-0000314,TRX-A250113-5360,PRD-0019,1,25000,2000
ITM-0000315,TRX-A250113-5360,PRD-0089,2,25000,0
ITM-0000316,TRX-A250113-7923,PRD-0055,1,20000,2000
ITM-0000317,TRX-A250113-4575,PRD-0115,2,18000,0
ITM-0000319,TRX-A250113-3220,PRD-0001,1,25000,1000
ITM-0000320,TRX-A250113-3220,PRD-0020,1,12000,5000
ITM-0000321,TRX-A250113-9136,PRD-0098,3,18000,0
ITM-0000322,TRX-A250113-3799,PRD-0062,2,18000,0
ITM-0000323,TRX-A250113-3799,PRD-0075,1,15000,1000
ITM-0000324,TRX-A250113-3799,PRD-0009,3,12000,0
ITM-0000325,TRX-A250114-1121,PRD-0118,2,20000,0
ITM-0000326,TRX-A250114-1121,PRD-0045,1,12000,1000
ITM-0000327,TRX-A250114-1121,PRD-0096,3,18000,0
ITM-0000328,TRX-A250114-4541,PRD-0096,1,18000,0
ITM-0000329,TRX-A250114-7298,PRD-0002,3,12000,0
ITM-0000330,TRX-A250114-7298,PRD-0027,2,25000,0
ITM-0000331,TRX-A250114-7298,PRD-0041,1,12000,5000
ITM-0000332,TRX-A250114-5585,PRD-0037,3,20000,2000
ITM-0000333,TRX-A250114-7218,PRD-0111,1,18000,5000
ITM-0000334,TRX-A250114-1059,PRD-0112,2,32000,5000
ITM-0000335,TRX-A250114-1059,PRD-0110,1,20000,5000
ITM-0000336,TRX-A250114-1059,PRD-0052,2,20000,0
ITM-0000337,TRX-A250114-2088,PRD-0076,2,20000,1000
ITM-0000338,TRX-A250114-6673,PRD-0105,1,12000,0
ITM-0000339,TRX-A250114-6673,PRD-0087,1,12000,1000
ITM-0000340,TRX-A250114-9616,PRD-0080,1,28000,2000
ITM-0000341,TRX-A250114-9616,PRD-0027,1,25000,1000
ITM-0000342,TRX-A250114-7131,PRD-0063,2,20000,1000
ITM-0000343,TRX-A250114-9551,PRD-0110,1,20000,2000
ITM-0000344,TRX-A250114-1016,PRD-0011,1,28000,0
ITM-0000345,TRX-A250114-1016,PRD-0009,1,12000,5000
ITM-0000346,TRX-A250114-5707,PRD-0019,2,25000,0
ITM-0000347,TRX-A250114-2965,PRD-0004,1,20000,2000
ITM-0000348,TRX-A250114-2965,PRD-0014,3,15000,0
ITM-0000349,TRX-A250114-2932,PRD-0044,3,32000,0
ITM-0000350,TRX-A250114-3683,PRD-0081,1,28000,2000
ITM-0000351,TRX-A250114-3683,PRD-0082,2,18000,2000
ITM-0000352,TRX-A250114-3683,PRD-0080,1,28000,5000
ITM-0000353,TRX-A250114-3925,PRD-0076,2,20000,2000
ITM-0000354,TRX-A250114-7694,PRD-0103,1,28000,1000
ITM-0000355,TRX-A250114-3799,PRD-0004,1,20000,2000
ITM-0000356,TRX-A250114-3799,PRD-0085,2,18000,0
ITM-0000357,TRX-A250114-8338,PRD-0031,1,22000,0
ITM-0000358,TRX-A250114-8338,PRD-0057,1,15000,0
ITM-0000359,TRX-A250114-1050,PRD-0049,2,22000,0
ITM-0000360,TRX-A250114-1050,PRD-0002,1,12000,5000
ITM-0000361,TRX-A250115-9483,PRD-0040,2,22000,0
ITM-0000362,TRX-A250115-9483,PRD-0019,2,25000,0
ITM-0000363,TRX-A250115-2040,PRD-0120,2,15000,0
ITM-0000364,TRX-A250115-8214,PRD-0079,2,32000,2000
ITM-0000365,TRX-A250115-9986,PRD-0075,2,15000,5000
ITM-0000366,TRX-A250115-9986,PRD-0115,3,18000,1000
ITM-0000367,TRX-A250115-4663,PRD-0043,2,12000,1000
ITM-0000368,TRX-A250115-4663,PRD-0034,1,45000,2000
ITM-0000369,TRX-A250115-1304,PRD-0071,1,20000,0
ITM-0000370,TRX-A250115-1304,PRD-0069,-1,32000,0
ITM-0000371,TRX-A250115-1304,PRD-0025,2,20000,2000
ITM-0000372,TRX-A250115-6674,PRD-0066,1,25000,2000
ITM-0000373,TRX-A250115-4794,PRD-0014,1,15000,2000
ITM-0000374,TRX-A250115-4794,PRD-0021,3,32000,0
ITM-0000375,TRX-A250115-4794,PRD-0033,1,15000,0
ITM-0000376,TRX-A250115-1829,PRD-0003,1,45000,1000
ITM-0000377,TRX-A250115-1829,PRD-0062,1,18000,1000
ITM-0000378,TRX-A250115-1829,PRD-0052,1,20000,0
ITM-0000379,TRX-A250115-6774,PRD-0083,1,20000,5000
ITM-0000380,TRX-A250115-6774,PRD-0033,2,15000,0
ITM-0000381,TRX-A250115-6774,PRD-0108,-1,25000,5000
ITM-0000382,TRX-A250116-2509,PRD-0002,3,12000,2000
ITM-0000383,TRX-A250116-3032,PRD-0071,1,20000,5000
ITM-0000384,TRX-A250116-2396,PRD-0115,1,18000,0
ITM-0000385,TRX-A250116-1040,PRD-0057,1,15000,0
ITM-0000386,TRX-A250116-1040,PRD-0005,1,12000,0
ITM-0000387,TRX-A250116-1040,PRD-0020,3,12000,1000
ITM-0000388,TRX-A250116-4199,PRD-0116,1,45000,0
ITM-0000389,TRX-A250116-4199,PRD-0075,1,15000,0
ITM-0000390,TRX-A250116-2443,PRD-0087,3,12000,0
ITM-0000391,TRX-A250116-2443,PRD-0089,1,25000,1000
ITM-0000392,TRX-A250116-2443,PRD-0057,1,15000,1000
ITM-0000393,TRX-A250116-2747,PRD-0040,1,22000,0
ITM-0000394,TRX-A250116-2747,PRD-0017,3,18000,1000
ITM-0000395,TRX-A250116-1274,PRD-0083,2,20000,2000
ITM-0000396,TRX-A250116-9224,PRD-0020,1,12000,5000
ITM-0000397,TRX-A250116-9224,PRD-0081,1,28000,2000
ITM-0000398,TRX-A250116-9224,PRD-0016,1,18000,0
ITM-0000399,TRX-A250116-4336,PRD-0054,1,15000,0
ITM-0000400,TRX-A250116-4336,PRD-0012,2,25000,1000
ITM-0000401,TRX-A250116-8964,PRD-0117,2,12000,0
ITM-0000402,TRX-A250116-8964,PRD-0120,2,15000,2000
ITM-0000403,TRX-A250116-1084,PRD-0088,3,45000,5000
ITM-0000404,TRX-A250116-1084,PRD-0019,2,25000,1000
ITM-0000405,TRX-A250116-1084,PRD-0051,2,28000,1000
ITM-0000406,TRX-A250116-1047,PRD-0107,2,15000,5000
ITM-0000407,TRX-A250116-1047,PRD-0017,1,18000,0
ITM-0000408,TRX-A250116-1047,PRD-0034,3,45000,0
ITM-0000409,TRX-A250117-9536,PRD-0033,2,15000,0
ITM-0000410,TRX-A250117-9536,PRD-0009,3,12000,1000
ITM-0000411,TRX-A250117-9536,PRD-0093,2,45000,0
ITM-0000412,TRX-A250117-2181,PRD-0048,3,28000,1000
ITM-0000413,TRX-A250117-2181,PRD-0018,1,28000,0
ITM-0000414,TRX-A250117-2181,PRD-0086,1,32000,0
ITM-0000415,TRX-A250117-3531,PRD-0116,-1,45000,2000
ITM-0000416,TRX-A250117-3531,PRD-0025,1,20000,0
ITM-0000417,TRX-A250117-6374,PRD-0011,3,28000,0
ITM-0000418,TRX-A250117-6374,PRD-0076,3,20000,1000
