product_id,nama_produk,kategori,harga_satuan,harga_berlaku_dari,aktif
PRD-0033,Es Original 33,Snack,15000,2025-03-01,tidak
PRD-0034,Teh Aren 34,Snack,45000,2025-03-01,ya
PRD-0035,Roti Madu 35,Snack,12000,2025-04-01,tidak
PRD-0036,Susu Susu 36,Non-Kopi,22000,2025-05-01,ya
PRD-0037,Kopi Original 37,Roti,20000,2025-01-01,ya
PRD-0038,Kopi Kelapa 38,Roti,45000,2025-09-01,ya
PRD-0039,Matcha Madu 39,Kopi,22000,2025-03-01,ya
PRD-0040,Susu Aren 40,Kopi,22000,2025-10-01,ya
PRD-0041,Susu Susu 41,Snack,12000,2025-04-01,ya
PRD-0042,Teh Gula 42,Non-Kopi,45000,2025-02-01,ya
PRD-0043,Pisang Aren 43,Non-Kopi,12000,2025-11-01,ya
PRD-0044,Susu Original 44,Kopi,32000,2025-12-01,ya
PRD-0045,Es Aren 45,Snack,12000,2025-12-01,ya
PRD-0046,Matcha Gula 46,Kopi,32000,2025-07-01,ya
PRD-0047,Matcha Keju 47,Kopi,22000,2025-07-01,ya
PRD-0048,Pisang Madu 48,Kopi,28000,2025-06-01,ya
PRD-0049,Cokelat Original 49,Roti,22000,2025-10-01,ya
PRD-0050,Susu Original 50,Roti,32000,2025-11-01,ya
PRD-0051,Matcha Susu 51,Roti,28000,2025-12-01,ya
PRD-0052,Kopi Original 52,Kopi,20000,2025-10-01,ya
PRD-0053,Matcha Susu 53,Kopi,45000,2025-12-01,ya
PRD-0054,Pisang Aren 54,Non-Kopi,15000,2025-04-01,ya
PRD-0055,Pisang Kelapa 55,Roti,20000,2025-03-01,ya
PRD-0056,Kopi Spesial 56,Kopi,45000,2025-06-01,tidak
PRD-0057,Kopi Kelapa 57,Roti,15000,2025-03-01,ya
PRD-0058,Roti Kelapa 58,Snack,32000,2025-10-01,ya
PRD-0059,Teh Original 59,Non-Kopi,12000,2025-09-01,ya
PRD-0060,Pisang Original 60,Kopi,12000,2025-10-01,ya
PRD-0061,Matcha Original 61,Non-Kopi,28000,2025-08-01,ya
PRD-0062,Matcha Susu 62,Snack,18000,2025-01-01,tidak
PRD-0063,Susu Susu 63,Roti,20000,2025-05-01,ya
PRD-0064,Matcha Gula 64,Non-Kopi,32000,2025-04-01,ya
PRD-0065,Kopi Aren 65,Non-Kopi,45000,2025-02-01,tidak
PRD-0066,Teh Gula 66,Roti,25000,2025-06-01,ya
PRD-0067,Kopi Kelapa 67,Snack,22000,2025-10-01,ya
PRD-0068,Kopi Aren 68,Roti,20000,2025-01-01,ya
PRD-0069,Matcha Original 69,Roti,32000,2025-04-01,ya
PRD-0070,Matcha Madu 70,Snack,32000,2025-07-01,ya
PRD-0071,Roti Keju 71,Kopi,20000,2025-05-01,ya
PRD-0072,Susu Susu 72,Non-Kopi,20000,2025-06-01,ya
PRD-0073,Kopi Keju 73,Snack,20000,2025-11-01,ya
PRD-0074,Kopi Keju 74,Kopi,45000,2025-05-01,ya
PRD-0075,Kopi Gula 75,Kopi,15000,2025-03-01,ya
PRD-0076,Kopi Gula 76,Snack,20000,2025-08-01,ya
PRD-0077,Kopi Gula 77,Roti,22000,2025-08-01,ya
PRD-0078,Kopi Madu 78,Roti,20000,2025-07-01,ya
PRD-0079,Es Gula 79,Kopi,32000,2025-11-01,ya
PRD-0080,Matcha Kelapa 80,Snack,28000,2025-01-01,tidak
PRD-0081,Es Susu 81,Roti,28000,2025-04-01,ya
PRD-0082,Cokelat Madu 82,Roti,18000,2025-05-01,ya
PRD-0083,Kopi Original 83,Snack,20000,2025-11-01,tidak
PRD-0084,Teh Madu 84,Non-Kopi,28000,2025-01-01,ya
PRD-0085,Susu Madu 85,Non-Kopi,18000,2025-07-01,ya
PRD-0086,Susu Original 86,Snack,32000,2025-12-01,ya
PRD-0087,Matcha Susu 87,Kopi,12000,2025-10-01,ya
PRD-0088,Matcha Susu 88,Snack,45000,2025-11-01,tidak
PRD-0089,Kopi Spesial 89,Snack,25000,2025-06-01,ya
PRD-0090,Matcha Original 90,Roti,18000,2025-08-01,ya
PRD-0091,Es Gula 91,Snack,28000,2025-01-01,ya
PRD-0092,Susu Kelapa 92,Roti,32000,2025-04-01,ya
PRD-0093,Pisang Keju 93,Kopi,45000,2025-08-01,ya
PRD-0094,Susu Keju 94,Non-Kopi,20000,2025-02-01,ya
PRD-0095,Roti Gula 95,Kopi,20000,2025-06-01,ya
PRD-0096,Es Spesial 96,Non-Kopi,18000,2025-08-01,ya
PRD-0097,Matcha Keju 97,Roti,18000,2025-11-01,ya
PRD-0098,Matcha Original 98,Non-Kopi,18000,2025-02-01,ya
PRD-0099,Kopi Keju 99,Roti,45000,2025-06-01,ya
PRD-0100,Teh Original 100,Non-Kopi,28000,2025-05-01,ya
PRD-0101,Roti Original 101,Non-Kopi,28000,2025-06-01,tidak
PRD-0102,Cokelat Kelapa 102,Snack,15000,2025-03-01,ya
PRD-0103,Matcha Susu 103,Kopi,28000,2025-05-01,ya
PRD-0104,Teh Susu 104,Snack,12000,2025-09-01,ya
PRD-0105,Kopi Gula 105,Roti,12000,2025-08-01,ya
PRD-0106,Cokelat Keju 106,Non-Kopi,45000,2025-01-01,ya
PRD-0107,Susu Keju 107,Kopi,15000,2025-05-01,ya
PRD-0108,Roti Aren 108,Kopi,25000,2025-08-01,ya
PRD-0109,Susu Spesial 109,Roti,32000,2025-09-01,ya
PRD-0110,Cokelat Original 110,Non-Kopi,20000,2025-11-01,tidak
PRD-0111,Teh Gula 111,Kopi,18000,2025-11-01,ya
PRD-0112,Matcha Susu 112,Snack,32000,2025-04-01,ya
PRD-0113,Es Madu 113,Roti,15000,2025-10-01,tidak
PRD-0114,Pisang Madu 114,Kopi,25000,2025-11-01,ya
PRD-0115,Es Aren 115,Snack,18000,2025-12-01,ya
PRD-0116,Kopi Keju 116,Kopi,45000,2025-01-01,ya
PRD-0117,Roti Madu 117,Kopi,12000,2025-06-01,ya
PRD-0118,Roti Aren 118,Snack,20000,2025-11-01,ya
PRD-0119,Pisang Keju 119,Snack,45000,2025-05-01,ya
PRD-0120,Cokelat Keju 120,Kopi,15000,2025-12-01,ya
