kode,desa,kode_kecamatan,kecamatan,kode_kabkot,kabkot
33.74.10.1012,Sambiroto,33.74.10,Tembalang,33.74,Kota Semarang
33.74.11.1001,Pudakpayung,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1002,Gedawang,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1003,Jabungan,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1004,Pedalangan,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1005,Banyumanik,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1006,Srondol Kulon,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1007,Srondol Wetan,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1008,Ngesrep,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1009,Tinjomoyo,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1010,Padangsari,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.11.1011,Sumurboto,33.74.11,Banyumanik,33.74,Kota Semarang
33.74.12.1001,Pakintelan,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1002,Mangunsari,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1003,Plalangan,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1004,Gunungpati,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1005,Nongkosawit,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1006,Pongangan,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1007,Ngijo,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1008,Patemon,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1009,Sekaran,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1010,Sukorejo,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1011,Sadeng,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1012,Cepoko,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1013,Jatirejo,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1014,Sumurrejo,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1015,Kalisegoro,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.12.1016,Kandri,33.74.12,Gunungpati,33.74,Kota Semarang
33.74.13.1001,Ngemplak Simongan,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1002,Manyaran,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1003,Krapyak,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1004,Tambakharjo,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1005,Kalibanteng Kulon,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1006,Kalibanteng Kidul,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1007,Gisikdrono,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1008,Bongsari,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1009,Bojongsalaman,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1010,Salamanmloyo,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1011,Cabean,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1012,Karangayu,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1013,Krobokan,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1014,Tawangsari,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1015,Tawangmas,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.13.1016,Kembangarum,33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.14.1001,Cangkiran,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1002,Bubakan,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1003,Karangmalang,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1004,Polaman,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1005,Purwosari,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1006,Tambangan,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1007,Wonolopo,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1008,Mijen,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1009,Jatibarang,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1010,Kedungpane,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1011,Ngadirgo,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1012,Wonoplumbon,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1013,Jatisari,33.74.14,Mijen,33.74,Kota Semarang
33.74.14.1014,Pesantren,33.74.14,Mijen,33.74,Kota Semarang
33.74.15.1001,Gondoriyo,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.15.1002,Podorejo,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.15.1003,Bringin,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.15.1004,Purwoyoso,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.15.1005,Kalipancur,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.15.1006,Bambankerep,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.15.1007,Ngaliyan,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.15.1008,Tambakaji,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.15.1009,Wonosari,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.15.1010,Wates,33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.16.1001,Jerakah,33.74.16,Tugu,33.74,Kota Semarang
33.74.16.1002,Tugurejo,33.74.16,Tugu,33.74,Kota Semarang
33.74.16.1003,Karanganyar,33.74.16,Tugu,33.74,Kota Semarang
33.74.16.1004,Randugarut,33.74.16,Tugu,33.74,Kota Semarang
33.74.16.1005,Mangkang Wetan,33.74.16,Tugu,33.74,Kota Semarang
33.74.16.1006,Mangkang Kulon,33.74.16,Tugu,33.74,Kota Semarang
33.74.16.1007,Mangunharjo,33.74.16,Tugu,33.74,Kota Semarang
